Tanggal,Tim Tuan Rumah,Skor,Tim Tamu
"Sat, Sep 14",Southampton,0 - 3,Man Utd
"Sat, Sep 14",Crystal Palace,2 - 2,Leicester
"Sat, Sep 14",Fulham,1 - 1,West Ham
"Sat, Sep 14",Liverpool,0 - 1,Nottingham
"Sat, Sep 14",Brighton,0 - 0,Ipswich
"Sat, Sep 14",Man City,2 - 1,Brentford
"Sat, Sep 14",Aston Villa,3 - 2,Everton
"Sun, Sep 15",Bournemouth,0 - 1,Chelsea
"Sun, Sep 15",Tottenham,0 - 1,Arsenal
"Sun, Sep 15",Wolverhampton,1 - 2,Newcastle
"Sat, Sep 21",West Ham,0 - 3,Chelsea
"Sat, Sep 21",Aston Villa,3 - 1,Wolverhampton
"Sat, Sep 21",Liverpool,3 - 0,Bournemouth
"Sat, Sep 21",Tottenham,3 - 1,Brentford
"Sat, Sep 21",Leicester,1 - 1,Everton
"Sat, Sep 21",Southampton,1 - 1,Ipswich
"Sat, Sep 21",Fulham,3 - 1,Newcastle
"Sat, Sep 21",Crystal Palace,0 - 0,Man Utd
"Sun, Sep 22",Brighton,2 - 2,Nottingham
"Sun, Sep 22",Man City,2 - 2,Arsenal
"Sat, Sep 28",Newcastle,1 - 1,Man City
"Sat, Sep 28",Arsenal,4 - 2,Leicester
"Sat, Sep 28",Brentford,1 - 1,West Ham
"Sat, Sep 28",Chelsea,4 - 2,Brighton
"Sat, Sep 28",Nottingham,0 - 1,Fulham
"Sat, Sep 28",Everton,2 - 1,Crystal Palace
"Sat, Sep 28",Wolverhampton,1 - 2,Liverpool
